name,id
Italy,0
Portugal,1
US,2
Spain,5
France,7
Germany,8
Argentina,16
Chile,36
Australia,77
Austria,93
South Africa,125
New Zealand,174
Israel,202
Hungary,219
Greece,271
Romania,306
Mexico,378
Canada,454
Georgia,913
Turkey,1187
Czech Republic,2272
Slovenia,2292
no_country_specified,3131
Luxembourg,3576
Croatia,4007
Uruguay,4051
England,4073
Lebanon,4896
Serbia,5085
Brazil,5852
Moldova,5996
Morocco,6008
Peru,6565
India,6673
Bulgaria,6970
Cyprus,7568
Armenia,8170
Switzerland,14187
Bosnia and Herzegovina,16467
Ukraine,19530
Slovakia,22687
Macedonia,25466
China,109989
Egypt,110246
