name,id
Nielluciu,45676
Carcajolu,5415
Cabernet Sauvignon-Cabernet Franc,12593
Grauburgunder,15025
Negroamaro,1363
"Corvina, Rondinella, Molinara",980
Hárslevelü,10992
Brachetto,11599
Syrah-Grenache,559
Carignane,15292
Albariño,81
Semillon-Chardonnay,22743
Pinot Blanc-Pinot Noir,28656
Muscat Blanc à Petits Grains,925
Loin de l'Oeil,18096
Provence white blend,4197
Assyrtico,271
Portuguese Red,1
Aglianico,72
Verdil,17542
Aleatico,5368
Tokay Pinot Gris,102095
Bordeaux-style Red Blend,67
Gros Manseng,11446
Marsanne,520
Mourvèdre-Syrah,8806
Colombard,819
Cabernet Pfeffer,69577
Maturana,3210
Riesling,3
Cabernet Franc,62
Merlot-Malbec,1038
Mavrotragano,57687
Pinot Meunier,1395
Tămâioasă Românească,75106
Ekigaïna,11639
Cabernet Franc-Cabernet Sauvignon,2876
Marquette,33925
Nascetta,5737
Torbato,4921
Encruzado,4902
Sangiovese,61
Carricante,844
Mavrodaphne,24320
Malvar,43991
Tempranillo-Cabernet Sauvignon,2970
Sciaccerellu,25186
Chinuri,913
Weissburgunder,1153
Orangetraube,50888
Petite Verdot,7925
Grignolino,21314
Merlot-Grenache,76447
Teroldego Rotaliano,72507
Viognier-Chardonnay,36
Debit,17260
Chambourcin,2379
Welschriesling,2272
Tinto del Pais,7690
Garnacha Blend,62596
Ruché,2257
Kadarka,30835
Grecanico,26965
Portuguese White,151
Chardonnay-Pinot Blanc,22164
Mazuelo,15822
Albana,4441
Inzolia,46
Verdejo-Viura,763
Rolle,50074
Coda di Volpe,18127
Austrian white blend,2665
Sauvignon Blanc-Chenin Blanc,20091
Malvasia Fina,99350
Vranac,79270
Garnacha,1357
Azal,42306
Gewürztraminer-Riesling,2616
G-S-M,204
Malagousia,2183
Catarratto,40
Babić,70169
Uvalino,81692
Garnacha-Syrah,21348
Roscetto,116970
Cococciola,33755
Otskhanuri Sapere,119787
Cabernet Sauvignon Grenache,74981
Syrah-Cabernet,1379
Tempranillo Blend,18
Athiri,127959
Valdiguié,8024
Ribolla Gialla,1054
Tinto Fino,4774
Cabernet Blend,3159
Merlot-Argaman,1265
Cesanese d'Affile,16819
Kangoun,8170
Alfrocheiro,6233
Cerceal,2651
