0,0,Sicily & Sardinia,Etna,Nicosia
1,1,Douro,,Quinta dos Avidagos
2,2,Oregon,Willamette Valley,Rainstorm
3,2,Michigan,Lake Michigan Shore,St. Julian
4,2,Oregon,Willamette Valley,Sweet Cheeks
5,5,Northern Spain,Navarra,Tandem
6,0,Sicily & Sardinia,Vittoria,Terre di Giurfo
7,7,Alsace,Alsace,Trimbach
8,8,Rheinhessen,,Heinz Eifel
9,7,Alsace,Alsace,Jean-Baptiste Adam
10,2,California,Napa Valley,Kirkland Signature
11,7,Alsace,Alsace,Leon Beyer
12,2,California,Alexander Valley,Louis M. Martini
13,0,Sicily & Sardinia,Etna,Masseria Setteporte
14,2,California,Central Coast,Mirassou
15,8,Mosel,,Richard Böcking
16,16,Other,Cafayate,Felix Lavaque
17,16,Mendoza Province,Mendoza,Gaucho Andino
18,5,Northern Spain,Ribera del Duero,Pradorey
19,2,Virginia,Virginia,Quiévremont
21,2,Oregon,Oregon,Acrobat
22,0,Sicily & Sardinia,Sicilia,Baglio di Pianetto
23,2,California,Paso Robles,Bianchi
24,0,Sicily & Sardinia,Sicilia,Canicattì
25,2,California,Sonoma Coast,Castello di Amorosa
26,0,Sicily & Sardinia,Terre Siciliane,Stemmari
29,2,California,Clarksburg,Clarksburg Wine Company
30,7,Beaujolais,Beaujolais-Villages,Domaine de la Madone
31,0,Sicily & Sardinia,Sicilia,Duca di Salaparuta
33,2,California,Dry Creek Valley,Envolve
35,2,Oregon,McMinnville,Erath
36,36,Colchagua Valley,,Estampa
37,0,Sicily & Sardinia,Sicilia,Feudi del Pisciotto
38,0,Southern Italy,Puglia,Feudi di San Marzano
39,0,Sicily & Sardinia,Sicilia,Feudo di Santa Tresa
40,0,Sicily & Sardinia,Sicilia,Feudo Montoni
41,2,Oregon,Willamette Valley,Hawkins Cellars
42,7,Beaujolais,Beaujolais,Henry Fessy
43,2,California,Paso Robles,Robert Hall
44,36,Maule Valley,,Sundance
45,2,Virginia,Virginia,Tarara
46,0,Sicily & Sardinia,Sicilia,Tasca d'Almerita
47,2,California,Lake County,The White Knight
48,2,Virginia,Monticello,Trump
49,7,Beaujolais,Brouilly,Vignerons de Bel Air
50,0,Sicily & Sardinia,Sicilia,Viticultori Associati Canicatti
51,36,Colchagua Valley,,Casa Silva
52,0,Sicily & Sardinia,Monica di Sardegna,Cantine di Dolianova
53,7,Bordeaux,Bordeaux Blanc,Château de Sours
54,0,Sicily & Sardinia,Sicilia,Corvo
55,2,California,Napa Valley,RustRidge
56,2,California,North Coast,Souverain
58,36,Maipo Valley,,Tres Palacios
59,2,Washington,Columbia Valley (WA),Mellisoni
60,2,California,Napa Valley,Okapi
61,0,Central Italy,Romagna,Podere dal Nespoli
62,2,Washington,Columbia Valley (WA),Ram
63,7,Champagne,Champagne,Roland Champion
64,2,California,Santa Ynez Valley,Sevtap
65,7,Burgundy,Chablis,Simonnet-Febvre
66,7,Burgundy,Mâcon-Milly Lamartine,Vignerons des Terres Secrètes
67,2,Washington,Columbia Valley (WA),Basel Cellars
68,2,California,California,Cocobon
69,7,Champagne,Champagne,Collet
70,2,Washington,Columbia Valley (WA),Drumheller
71,2,California,Alexander Valley,Eco Terreno
72,0,Southern Italy,Aglianico del Vulture,Grifalco
73,2,California,Howell Mountain,Hindsight
75,2,California,Napa Valley,Mulvane Wine Co.
76,8,Rheinhessen,,Schmitt Söhne
77,77,South Australia,South Australia,Yalumba
78,2,Oregon,Eola-Amity Hills,Z'IVO
79,1,Tejo,,Adega Cooperativa do Cartaxo
80,36,Rapel Valley,,Aresti
81,5,Galicia,Rías Baixas,Spyro
82,7,France Other,Vin de France,Lionel Osmin & Cie
83,77,South Australia,McLaren Vale,Mitolo
84,2,California,Napa Valley,Napa Cellars
85,8,Rheinhessen,,P.J. Valckenberg
86,2,Washington,Ancient Lakes,Palencia
87,2,California,Knights Valley,Passaggio
88,0,Tuscany,Vernaccia di San Gimignano,Poggio Alloro
89,0,Tuscany,Toscana,Fattoria Sardi
90,2,California,Sonoma County,Ferrari-Carano
91,2,California,Sonoma Coast,Folie à Deux
92,2,California,Napa Valley,Franciscan
93,93,Burgenland,,Fuchs
94,2,Washington,Columbia Valley (WA),Gård
97,2,New York,Finger Lakes,Heron Hill
98,0,Tuscany,Morellino di Scansano,Serpaia di Endrizzi
99,2,California,Napa Valley,Soquel Vineyards
100,2,New York,Finger Lakes,Ventosa
101,2,New York,Finger Lakes,Lamoreaux Landing
103,36,Leyda Valley,,Leyda
104,0,Tuscany,Toscana,Madonna Alta
105,0,Tuscany,Toscana,Marchesi Antinori
106,0,Tuscany,Toscana,Marchesi de' Frescobaldi
108,2,California,Santa Clara Valley,Martin Ranch
109,0,Tuscany,Toscana,Ornellaia
110,7,Beaujolais,Brouilly,Pardon et Fils
111,2,California,Yountville,Piña
112,0,Tuscany,Toscana,Podere Ciona
113,0,Tuscany,Toscana,Poggioventoso
114,2,California,Paso Robles,Pull
116,2,California,Santa Ynez Valley,R2
117,2,California,Central Coast,Rideau
118,0,Tuscany,Toscana,Tenuta Forconi
119,7,Alsace,Alsace,Dopff & Irion
120,0,Piedmont,Barolo,Ceretto
121,2,California,Alexander Valley,Matrix
122,2,California,Rockpile,Mauritson
123,77,South Australia,Padthaway,Henry's Drive Vignerons
124,2,California,Napa Valley,Silverado
125,125,Stellenbosch,,Le Riche
126,7,Alsace,Alsace,Pierre Sparr
128,7,Alsace,Alsace,Kuentz-Bas
