,country,province,region_1,region_2,winery
0,Italy,Sicily & Sardinia,Etna,,Nicosia
1,Portugal,Douro,,,Quinta dos Avidagos
2,US,Oregon,Willamette Valley,Willamette Valley,Rainstorm
3,US,Michigan,Lake Michigan Shore,,St. Julian
4,US,Oregon,Willamette Valley,Willamette Valley,Sweet Cheeks
5,Spain,Northern Spain,Navarra,,Tandem
6,Italy,Sicily & Sardinia,Vittoria,,Terre di Giurfo
7,France,Alsace,Alsace,,Trimbach
8,Germany,Rheinhessen,,,Heinz Eifel
9,France,Alsace,Alsace,,Jean-Baptiste Adam
10,US,California,Napa Valley,Napa,Kirkland Signature
11,France,Alsace,Alsace,,Leon Beyer
12,US,California,Alexander Valley,Sonoma,Louis M. Martini
13,Italy,Sicily & Sardinia,Etna,,Masseria Setteporte
14,US,California,Central Coast,Central Coast,Mirassou
15,Germany,Mosel,,,Richard Böcking
16,Argentina,Other,Cafayate,,Felix Lavaque
17,Argentina,Mendoza Province,Mendoza,,Gaucho Andino
18,Spain,Northern Spain,Ribera del Duero,,Pradorey
19,US,Virginia,Virginia,,Quiévremont
21,US,Oregon,Oregon,Oregon Other,Acrobat
22,Italy,Sicily & Sardinia,Sicilia,,Baglio di Pianetto
23,US,California,Paso Robles,Central Coast,Bianchi
24,Italy,Sicily & Sardinia,Sicilia,,Canicattì
25,US,California,Sonoma Coast,Sonoma,Castello di Amorosa
26,Italy,Sicily & Sardinia,Terre Siciliane,,Stemmari
29,US,California,Clarksburg,Central Valley,Clarksburg Wine Company
30,France,Beaujolais,Beaujolais-Villages,,Domaine de la Madone
31,Italy,Sicily & Sardinia,Sicilia,,Duca di Salaparuta
33,US,California,Dry Creek Valley,Sonoma,Envolve
35,US,Oregon,McMinnville,Willamette Valley,Erath
36,Chile,Colchagua Valley,,,Estampa
37,Italy,Sicily & Sardinia,Sicilia,,Feudi del Pisciotto
38,Italy,Southern Italy,Puglia,,Feudi di San Marzano
39,Italy,Sicily & Sardinia,Sicilia,,Feudo di Santa Tresa
40,Italy,Sicily & Sardinia,Sicilia,,Feudo Montoni
41,US,Oregon,Willamette Valley,Willamette Valley,Hawkins Cellars
42,France,Beaujolais,Beaujolais,,Henry Fessy
43,US,California,Paso Robles,Central Coast,Robert Hall
44,Chile,Maule Valley,,,Sundance
45,US,Virginia,Virginia,,Tarara
46,Italy,Sicily & Sardinia,Sicilia,,Tasca d'Almerita
47,US,California,Lake County,,The White Knight
48,US,Virginia,Monticello,,Trump
49,France,Beaujolais,Brouilly,,Vignerons de Bel Air
50,Italy,Sicily & Sardinia,Sicilia,,Viticultori Associati Canicatti
51,Chile,Colchagua Valley,,,Casa Silva
52,Italy,Sicily & Sardinia,Monica di Sardegna,,Cantine di Dolianova
53,France,Bordeaux,Bordeaux Blanc,,Château de Sours
54,Italy,Sicily & Sardinia,Sicilia,,Corvo
55,US,California,Napa Valley,Napa,RustRidge
56,US,California,North Coast,North Coast,Souverain
58,Chile,Maipo Valley,,,Tres Palacios
59,US,Washington,Columbia Valley (WA),Columbia Valley,Mellisoni
60,US,California,Napa Valley,Napa,Okapi
61,Italy,Central Italy,Romagna,,Podere dal Nespoli
62,US,Washington,Columbia Valley (WA),Columbia Valley,Ram
63,France,Champagne,Champagne,,Roland Champion
64,US,California,Santa Ynez Valley,Central Coast,Sevtap
65,France,Burgundy,Chablis,,Simonnet-Febvre
66,France,Burgundy,Mâcon-Milly Lamartine,,Vignerons des Terres Secrètes
67,US,Washington,Columbia Valley (WA),Columbia Valley,Basel Cellars
68,US,California,California,California Other,Cocobon
69,France,Champagne,Champagne,,Collet
70,US,Washington,Columbia Valley (WA),Columbia Valley,Drumheller
71,US,California,Alexander Valley,Sonoma,Eco Terreno
72,Italy,Southern Italy,Aglianico del Vulture,,Grifalco
73,US,California,Howell Mountain,Napa,Hindsight
75,US,California,Napa Valley,Napa,Mulvane Wine Co.
76,Germany,Rheinhessen,,,Schmitt Söhne
77,Australia,South Australia,South Australia,,Yalumba
78,US,Oregon,Eola-Amity Hills,Willamette Valley,Z'IVO
79,Portugal,Tejo,,,Adega Cooperativa do Cartaxo
80,Chile,Rapel Valley,,,Aresti
81,Spain,Galicia,Rías Baixas,,Spyro
82,France,France Other,Vin de France,,Lionel Osmin & Cie
83,Australia,South Australia,McLaren Vale,,Mitolo
84,US,California,Napa Valley,Napa,Napa Cellars
85,Germany,Rheinhessen,,,P.J. Valckenberg
86,US,Washington,Ancient Lakes,Columbia Valley,Palencia
87,US,California,Knights Valley,Sonoma,Passaggio
88,Italy,Tuscany,Vernaccia di San Gimignano,,Poggio Alloro
89,Italy,Tuscany,Toscana,,Fattoria Sardi
90,US,California,Sonoma County,Sonoma,Ferrari-Carano
91,US,California,Sonoma Coast,Sonoma,Folie à Deux
92,US,California,Napa Valley,Napa,Franciscan
93,Austria,Burgenland,,,Fuchs
94,US,Washington,Columbia Valley (WA),Columbia Valley,Gård
97,US,New York,Finger Lakes,Finger Lakes,Heron Hill
98,Italy,Tuscany,Morellino di Scansano,,Serpaia di Endrizzi
99,US,California,Napa Valley,Napa,Soquel Vineyards
100,US,New York,Finger Lakes,Finger Lakes,Ventosa
101,US,New York,Finger Lakes,Finger Lakes,Lamoreaux Landing
103,Chile,Leyda Valley,,,Leyda
104,Italy,Tuscany,Toscana,,Madonna Alta
105,Italy,Tuscany,Toscana,,Marchesi Antinori
106,Italy,Tuscany,Toscana,,Marchesi de' Frescobaldi
108,US,California,Santa Clara Valley,Central Coast,Martin Ranch
109,Italy,Tuscany,Toscana,,Ornellaia
110,France,Beaujolais,Brouilly,,Pardon et Fils
111,US,California,Yountville,Napa,Piña
112,Italy,Tuscany,Toscana,,Podere Ciona
113,Italy,Tuscany,Toscana,,Poggioventoso
114,US,California,Paso Robles,Central Coast,Pull
116,US,California,Santa Ynez Valley,Central Coast,R2
117,US,California,Central Coast,,Rideau
118,Italy,Tuscany,Toscana,,Tenuta Forconi
119,France,Alsace,Alsace,,Dopff & Irion
120,Italy,Piedmont,Barolo,,Ceretto
121,US,California,Alexander Valley,Sonoma,Matrix
122,US,California,Rockpile,Sonoma,Mauritson
123,Australia,South Australia,Padthaway,,Henry's Drive Vignerons
124,US,California,Napa Valley,Napa,Silverado
125,South Africa,Stellenbosch,,,Le Riche
126,France,Alsace,Alsace,,Pierre Sparr
128,France,Alsace,Alsace,,Kuentz-Bas
129,South Africa,Stellenbosch,,,Camberley
132,South Africa,Simonsberg-Stellenbosch,,,Delheim
133,Italy,Piedmont,Barolo,,Poderi Luigi Einaudi
134,US,California,Napa Valley,Napa,Clark-Clauden
135,Italy,Piedmont,Barolo,,Giacomo Ascheri
136,France,Bordeaux,Saint-Émilion,,Lassègue
137,South Africa,Walker Bay,,,Beaumont
140,Italy,Piedmont,Barbera d'Alba,,Poderi Colla
142,US,California,Santa Lucia Highlands,Central Coast,Banyan
143,France,Alsace,Alsace,,Domaine Zind-Humbrecht
144,US,California,Spring Mountain District,Napa,Terra Valentine
145,US,California,Santa Lucia Highlands,Central Coast,Testarossa
146,US,California,Santa Ynez Valley,Central Coast,Vincent Vineyards
148,Germany,Rheinhessen,,,Weingut Liebfrauenstift
149,US,California,Monterey,Central Coast,Wrath
150,US,California,Napa Valley,Napa,Yardstick
151,Portugal,Alentejano,,,Herdade Grande
152,US,California,Carmel Valley,Central Coast,Albatross Ridge
153,US,California,Paso Robles,Central Coast,Alta Colina
154,Spain,Central Spain,Dominio de Valdepusa,,Marques de Griñon
155,US,California,Santa Cruz Mountains,Central Coast,Big Basin
156,Germany,Mosel,,,Carl Graff
157,Portugal,Alentejano,,,Casa Santa Vitória
158,Italy,Tuscany,Chianti Classico,,Castello di Gabbiano
159,Italy,Tuscany,Brunello di Montalcino,,Castello Romitorio
160,France,Southwest France,Cahors,,Château Vincens
161,US,California,Paso Robles,Central Coast,Chronic Cellars
162,US,California,Edna Valley,Central Coast,Claiborne & Churchill
163,France,Beaujolais,Moulin-à-Vent,,Collin-Bourisset
164,Chile,Aconcagua Valley,,,Conde de Velázquez
165,Chile,Maipo Valley,,,Cono Sur
166,France,Southwest France,Madiran,,Domaine Berthoumieu
167,US,California,Paso Robles,Central Coast,Dracaena
168,US,California,Napa Valley,Napa,Duckhorn
169,US,California,Russian River Valley,Sonoma,Dutton-Goldfield
170,Germany,Mosel,,,Fritz Haag
172,Chile,Loncomilla Valley,,,G7
173,US,Oregon,Willamette Valley,Willamette Valley,Le Cadeau
174,New Zealand,Marlborough,,,Stoneleigh
175,Italy,Northeastern Italy,Alto Adige,,Tenuta Peter Sölva & Söhne
176,Chile,Maipo Valley,,,TerraMater
177,Italy,Tuscany,Chianti Classico,,Isole e Olena
178,US,California,Sonoma Valley,Sonoma,Kenwood
179,France,Burgundy,Chablis,,La Chablisienne
180,US,California,Santa Lucia Highlands,Central Coast,Manzoni
181,US,California,Arroyo Seco,Central Coast,McIntyre Vineyards
182,Italy,Tuscany,Brunello di Montalcino,,Abbadia Ardenga
183,Argentina,Other,Salta,,Alamos
184,US,California,Sonoma Coast,Sonoma,Anaba
185,Chile,Colchagua Valley,,,Apaltagua
186,US,California,Anderson Valley,,Harrington
187,Italy,Sicily & Sardinia,Sicilia,,Abbazia Santa Anastasia
188,Chile,Colchagua Valley,,,Viña Bisquertt
189,Chile,Casablanca Valley,,,Emiliana
190,Italy,Southern Italy,Campania,,Fattoria Alois
192,Italy,Veneto,Rosso del Veronese,,Aldegheri
193,France,Burgundy,St.-Romain,,Bertrand Ambroise
194,Italy,Tuscany,Chianti Classico,,Campomaggio
195,Italy,Tuscany,Vino Nobile di Montepulciano,,Carpineto
196,Italy,Tuscany,Vernaccia di San Gimignano,,Cesani
197,South Africa,Western Cape,,,Spier
198,US,California,Napa Valley,Napa,Sequum
199,US,California,Nevada County,Sierra Foothills,Sierra Starr
200,Italy,Tuscany,Brunello di Montalcino,,Tenuta di Sesta
201,Italy,Northeastern Italy,Alto Adige,,Terlan
202,Israel,Judean Hills,,,Yatir
203,Portugal,Alentejo,,,Adega Cooperativa de Borba
204,US,California,Paso Robles,Central Coast,J. Lohr
206,US,California,Napa Valley,Napa,Courtney Benham
207,US,California,Dry Creek Valley,Sonoma,Del Carlo Winery
208,South Africa,Coastal Region,,,Delaire Graff
209,France,Rhône Valley,Côtes du Rhône,,Domaine St Pierre
210,South Africa,Western Cape,,,Eikendal
211,France,Rhône Valley,Vacqueyras,,Famille Perrin
212,Spain,Northern Spain,Rueda,,Matarromera
213,US,California,Paso Robles,Central Coast,MCV
214,US,California,Dry Creek Valley,Sonoma,Mounts
215,Israel,Galilee,,,Or Haganuz
216,Italy,Tuscany,Brunello di Montalcino,,Podere Scopetone
217,Portugal,Beira Atlantico,,,Quinta de Foz de Arouce
218,US,California,Napa Valley,Napa,Robert Mondavi
219,Hungary,Tokaj,,,Samuel Tinon
220,US,California,Sonoma Coast,Sonoma,Sixteen by Twenty
221,Italy,Northeastern Italy,Alto Adige,,St. Pauls
222,Italy,Tuscany,Brunello di Montalcino,,Talenti
224,Argentina,Mendoza Province,Luján de Cuyo,,Mendel
225,South Africa,Stellenbosch,,,Oldenburg
227,US,New York,Finger Lakes,Finger Lakes,Wagner
228,US,New York,Cayuga Lake,Finger Lakes,Treleaven
229,US,California,Napa Valley,Napa,Benessere
